Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
510,3,"Monthly lunch with my fellow colleagues the other day and the person assigned to get lunch ordered from Fresh and had it delivered. 

My selection was the Chopped Italian salad. The salad consists of mixed greens, salami, smoked turkey, tomato, garbanzo beans and parmesan cheese served with the house vinaigrette. The salad was lacking for me. I think such a salad would be so much better with a few more Italian-esque ingredients in it, perhaps a little more anitpasto like. I know, it's not advertised as antipasto but c'mon....this salad was boring.  Throw in a couple of olives, some artichoke hearts, some sliced pepperoncinis. Maybe my tastebuds were having an off day but the salami wasn't very flavorful either. Charge a couple dollars more for a more inventive salad. Please!

I do want to give them another chance since so many reviews on here are glowing. Maybe I need to stick with a panini or something but I really do love salads for summer lunches.",12-07-13 20:30,Fresh Cafe and Catering,"Coffee & Tea, Cafes, Food, Bakeries, Juice Bars & Smoothies, Restaurants, American (Traditional)",Tucson,AZ,4,43,Neutral
511,5,"We sat at a pretty hectic lunch at Johnny rockets in the casino. Our server was Lyndel! She was awesome! Helped us at every needy request lol... Good was good, too! I'm too full",14-01-17 23:00,Johnny Rockets,"Burgers, Restaurants, Fast Food, American (Traditional), Sandwiches, Diners",Reno,NV,4,520,Positive
512,5,This place is fantastic. The food is exceptional and the service couldn't be better. Very nice and generous people with a cool atmosphere. I eat here almost every weekend. Can't beat the Cuban espresso!,15-04-18 17:30,The Cuban Sandwich Shop,"Food, Restaurants, Cuban, Coffee & Tea, Cafes, Sandwiches",Indianapolis,IN,4.5,506,Positive
513,5,"Great pizza!  The owner Pete is usually there and he's a great guy.  They have lots of fantastic pizzas, but my favorites are the California (white pizza with pieces of breaded chicken cutlet, bacon, and tomatos, and ranch dressing instead of red sauce), Meatlovers (5 meats, but the sausage is the kind that does not have fennel in it, so more points for that), Veggie pizza (they saute the veggies first before they go on the pizza, and instead of using green peppers, they use sweet peppers).  

Unfortunately, the shop was damaged by a fire in the next door laundry mat and they've been closed for a few weeks, but I can't wait for their doors to open again soon. I miss the lunch special, 2 slices and a self serve soda for $3.99.   Best local pizza you'll find in the Hatboro area.",08-10-12 12:46,Romano's Pizza,"Cheesesteaks, Chicken Wings, Pizza, Restaurants, Italian",Hatboro,PA,4,5,Positive
514,4,Buffalo chicken cheese dip is amazing.  Friendly wait staff and prices are reasonable.,26-09-11 1:55,Dooney's Pub Delran,"Nightlife, Sports Bars, American (Traditional), Irish Pub, Bars, Arts & Entertainment, Irish, Music Venues, Restaurants, Pubs",Delran,NJ,3.5,97,Positive
515,5,"Pizza was so good! First time trying today and ordered online. A little mess up with their system so they didn't get my order in time. The guy called me back, told me he was making the pizza in a rush and wasn't charging me for it. 20 minutes later he came to the door himself with my Fresh, hot pizza and 2 brownies all for free. 
He was very apologetic. Customer service was fantastic and food was awesome. This is my new go to delivery joint.",18-11-17 21:44,Castrillo's Pizza of Inglewood,"Food, Salad, Food Delivery Services, Sandwiches, Pizza, Restaurants, Italian, Chicken Wings",Nashville,TN,3.5,101,Positive
516,4,"Came here for my 21st birthday dinner with my family and had a great experience! The food and drinks were to die for, but they were extremely overpriced. Even though the quality of food was good, I still don't think it was worth what we paid for. I recommend getting the lobster mac and cheese as an appetizer, it was probably the best mac and cheese I've ever eaten. At the end of the meal, they gave us some small complimentary desserts, even though we ordered a bunch of desserts to top off our meal. Had a great time, but definitely overpriced.",31-05-16 15:16,R2L,"American (New), Lounges, Nightlife, Cocktail Bars, Bars, Restaurants",Philadelphia,PA,3.5,787,Positive
517,5,"I like this place a lot. I stopped in once with friends for drinks and was eager to return for food. We finally did over the weekend. 

The ambience is very nice -- somehow ideal for both a fun date as well as for a beer and sports crowd. 

I love the open kitchen. 

Great beer selection. 

I'll definitely return for the rosemary fries, and my fiancée will return for the very good house burger.",08-06-15 23:25,Red Owl Tavern,"Breakfast & Brunch, American (New), Restaurants",Philadelphia,PA,3.5,618,Positive
518,3,"If you are going for the food, I would give it 5 stars, but since this is a brewhouse, I only gave it 3. 

I ordered the light flight since we went for lunch and I wasn't looking for a heavy meal. The beer was OK at best. It was bland, a little strange in after taste and uninspired. Light beers dont have to equal tasteless. My boyfriend had a ""hoppy beer with citrus undertones"". He could taste neither the hops or the citrus  (disclaimer - we are from VT and are used to very hoppy beers!)  

Now the food - that was great. We went at lunch time and was able to get a soup and salad for 8.95. We both had the same thing - Chicken Bruchetta salad and French Onion Soup. The portion was fantastic for a lunch size and the soup really flavorful! 

For a lunch downtown it was great, but I would go for the brews...",02-01-17 21:08,Granite City Food & Brewery,"Desserts, Breweries, Breakfast & Brunch, Restaurants, Barbeque, American (New), Food, American (Traditional)",Indianapolis,IN,3.5,258,Neutral
519,5,"This place just opened up near rivers edge apartments. It's a boutique style taqueria with a menu that anyone can enjoy. The head chef was nominated for a James Beard Award and it shows in his flavorful and diverse menu choices! The restaurant has both an outdoor and indoor setting with double doors that allow access to both, with a bar around the corner. 

I personally have tried every taco on the menu as well as the appetizers! Each taco uses fresh local ingredients with an option for vegetarians and meat eaters like myself. My two favorites are the mushroom taco and the short rib taco, both have unique and fantastic flavors. But I would recommend trying them all, you will not be disappointed! Overall a great place for lunch or dinner! I will definitely be going back soon!",19-05-18 15:04,Madre - Boutique Taqueria,"Mexican, Food, Event Planning & Services, Breakfast & Brunch, Beer, Wine & Spirits, Personal Chefs, Restaurants, Tacos",Boise,ID,4.5,141,Positive
520,5,"Originally, our little group headed to Franklin Fountain and the line was around the block-- Capofitto was only a few steps away with no line (and bonus--cheaper/better dessert treat!). We only popped in for gelato, but I would love to come back for the pizza! It looked and smelled really good. Gelato was amazing, as capogiro gelato always is. Highly recommend chocolat scurio and pera as a combo--it was perfect!",30-04-17 20:36,Capofitto,"Bars, Gelato, Breakfast & Brunch, Italian, Food, Nightlife, Restaurants, Pizza",Philadelphia,PA,4.5,205,Positive
521,5,"I highly recommend this place! This was our first ""Chef Tasting""! It was exquisite!! We had 9 courses and all were truly delicious. Wine was amazing. If you are in Philly, I highly recommend Vetri.",20-02-17 2:14,Vetri Cucina,"Italian, Cuban, Restaurants",Philadelphia,PA,4.5,489,Positive
522,4,"I'm pretty sure this place has been open since before I was born and it's no surprise as to why. 

The absolute classic of an American diner, polite and attentive waitresses and most of their food made entirely from scratch. I would definitely say their fried chicken is the best I've had before, and fresh! Bottomless coffee too, for $1.75 which I think is quite reasonable. Nice pie, too :)",17-10-15 17:05,Please-U-Restaurant,"Cajun/Creole, Breakfast & Brunch, Diners, Restaurants",New Orleans,LA,4,274,Positive
